iid,grupo,or,ctor,sexo,edad,inve,uso_app,tarjeta_debito,tipo_tarjeta,formacion
98,ctrl,0,0,0,47.65287838,38568.94282,1,1,5,3
99,trat2,1,1,0,39.87487703,59352.12466,0,0,4,2
100,trat2,1,1,0,53.95779056,67717.84732,0,1,3,2
101,trat2,1,1,1,52.32703178,71764.30098,0,1,3,3
102,ctrl,0,0,0,47.71863293,44049.60709,0,1,2,5
103,trat2,0,0,1,18,50208.0715,1,1,2,3
104,trat1,0,0,0,49.79314996,34901.93657,1,0,3,3
105,trat2,1,1,0,25.50242778,63040.16197,0,1,3,3
106,trat1,1,0,0,45.14038792,62848.71052,1,0,3,2
107,trat1,1,1,1,50.43068552,58206.75651,0,1,3,2
108,trat2,1,0,0,56.63959838,38217.81304,0,0,2,2
109,trat2,0,0,0,49.59981078,38534.20382,1,1,2,3
110,ctrl,0,0,0,63.30487493,45437.78872,0,1,2,2
111,trat1,0,0,0,65.93806142,49844.10979,0,1,3,2
112,ctrl,0,0,1,46.67640955,47309.4335,1,0,3,2
113,ctrl,0,0,0,48.02257595,51393.35835,1,1,5,2
114,trat1,0,0,0,57.30580321,40752.68241,0,0,2,4
115,trat1,1,1,0,47.39968471,58328.43558,0,1,3,3
116,ctrl,0,0,0,53.77889925,49960.93588,0,0,2,5
117,trat2,0,0,1,51.61771553,60835.61056,0,0,3,2
118,trat1,0,0,0,58.10609272,46920.01732,1,0,4,2
119,trat2,0,0,1,49.35309543,39685.04601,0,0,2,3
120,trat2,1,1,0,42.61344117,67338.6649,1,0,3,2
121,trat2,1,1,0,34.79392575,70259.03183,1,1,3,2
122,ctrl,0,0,1,37.94461507,40630.5692,0,0,1,3
123,ctrl,0,0,0,61.13495697,42245.33265,0,1,3,3
124,ctrl,0,0,1,57.59694286,57336.17066,1,0,3,3
125,trat2,1,0,0,49.09171098,35983.45173,1,0,2,3
126,trat1,0,0,0,40.93960742,42302.75213,1,0,2,3
127,ctrl,0,0,1,47.19045283,46495.74157,1,1,2,3
128,ctrl,1,0,0,48.30124139,40156.57214,0,0,3,2
129,ctrl,0,0,0,35.19700156,49152.30357,0,0,2,3
130,trat1,0,0,1,43.7552061,53874.66479,0,0,2,4
131,trat2,1,0,0,47.28076719,54030.98449,1,0,3,3
132,trat1,1,1,1,40.514279,63951.62869,0,1,3,2
133,trat1,0,0,0,48.59307211,45093.20287,0,0,2,2
134,trat1,0,0,0,52.21865796,43946.91957,1,0,3,2
135,trat2,0,0,0,62.66858628,50447.72121,1,1,3,1
136,trat2,1,1,0,18,58207.45259,0,0,3,3
137,trat1,1,1,0,42.40145381,64035.32279,1,1,3,2
138,trat1,0,0,1,36.58118675,45134.33767,0,0,3,2
139,trat1,0,0,1,42.89538718,46288.01945,0,0,4,2
140,trat2,0,0,0,54.19203642,39495.0704,1,1,5,1
141,ctrl,1,0,0,52.23464398,44533.73095,1,1,2,2
142,trat2,1,1,1,18,63017.26311,1,0,4,3
143,ctrl,1,0,1,39.68891356,48390.90969,0,1,2,2
144,ctrl,1,0,1,36.90073969,32787.49441,1,0,2,1
145,trat1,1,1,1,57.57097009,60683.6537,1,1,3,2
146,ctrl,0,0,1,62.8559593,56132.94669,0,1,3,4
147,ctrl,0,0,0,59.43179102,50016.37611,1,1,3,3
148,ctrl,0,0,0,56.02571886,45552.54996,0,1,2,2
149,ctrl,0,0,0,41.3860828,58507.14633,1,0,3,2
150,trat1,1,0,1,68.82684516,45307.91311,1,0,3,3
151,trat1,0,0,1,68.03971037,52410.51167,0,0,2,3
152,trat2,0,0,0,43.74971667,37123.05717,0,1,2,3
153,trat2,0,0,0,52.0961841,36819.91874,0,0,2,3
154,ctrl,0,0,0,44.21756654,49303.57519,0,0,2,3
155,ctrl,0,0,1,46.4056459,37205.05652,1,0,2,2
156,trat2,0,0,0,58.30351049,43068.79387,0,0,3,3
157,trat2,1,1,1,50.03990078,64994.4113,1,0,2,3
158,ctrl,1,1,0,41.75051009,27918.46779,1,0,1,4
159,trat2,0,0,0,44.46046031,51748.63642,0,0,2,2
160,ctrl,1,1,1,27.22709254,36601.96211,0,0,2,4
161,trat2,1,1,0,39.05357359,63426.01315,0,1,3,3
162,trat2,0,0,1,58.11999045,40646.77243,0,1,3,3
163,trat2,0,0,1,47.22416718,40573.37105,1,1,2,4
164,trat2,1,1,1,43.82720186,57465.06457,0,0,3,2
165,trat2,0,0,0,27.57129685,48621.92426,0,0,1,3
166,trat2,0,0,0,68.25197088,43327.72415,1,0,2,3
167,trat1,1,1,1,58.89771569,63138.93723,1,1,3,2
168,ctrl,0,0,1,27.82089592,42843.22502,0,0,2,3
169,trat2,1,1,0,32.49909519,65056.33519,0,1,3,2
170,ctrl,0,0,1,44.35433806,37506.64398,0,0,2,3
171,trat2,0,0,1,53.24319056,46771.78947,1,1,1,2
172,ctrl,1,0,1,43.46942946,39888.17064,1,1,3,3
173,trat1,1,0,1,51.19140072,48286.04344,0,0,3,2
174,trat1,0,0,0,69.62369529,38890.77677,0,0,3,4
175,trat2,0,0,0,38.74003377,49145.86942,1,1,3,2
176,trat2,0,0,1,54.93084795,44759.5984,0,0,3,3
177,trat2,0,0,1,64.93603969,41678.47554,0,1,2,2
178,trat2,0,0,0,29.97084173,41598.17832,1,0,4,3
179,trat1,0,0,0,52.76642966,44323.10257,1,1,2,3
180,trat2,1,1,0,49.00881872,72380.10018,1,0,2,2
181,trat1,1,0,0,48.90245941,34034.20917,1,1,3,3
182,ctrl,0,0,0,48.13881748,52539.64193,1,1,2,2
183,trat1,1,1,0,39.48490722,58239.7493,1,1,3,3
184,ctrl,1,0,1,44.71300898,47517.33744,1,1,5,2
185,trat2,0,0,0,41.5124954,50501.74596,0,0,4,2
186,trat2,0,0,0,70,39687.17237,1,0,3,3
187,ctrl,0,0,0,51.08079982,32306.55681,0,1,4,3
188,trat2,1,1,0,29.40143961,63108.48344,0,1,3,4
189,trat1,0,0,0,32.33844503,47597.32504,0,0,2,3
190,trat1,0,0,0,21.08204248,41405.72236,0,1,5,2
191,ctrl,0,0,0,54.79597862,54315.9678,0,0,2,1
192,ctrl,0,0,1,49.56597507,39004.71773,0,1,2,3
193,trat1,1,0,0,63.79016559,44678.00229,1,0,3,3
194,trat2,0,0,1,50.46111344,30642.44341,1,0,2,4
195,trat1,1,0,1,45.54443755,54099.81331,1,1,3,3
196,trat2,1,1,0,33.23856493,59896.05054,1,0,3,2
197,trat2,1,0,0,35.24678664,33312.05538,1,1,2,2
198,trat2,1,1,0,31.43319585,58973.99725,1,0,3,3
199,ctrl,1,0,1,50.11193742,41260.72827,0,0,3,3
200,trat2,1,1,0,51.02924601,65928.07327,1,1,3,2
201,ctrl,0,0,0,58.50115261,44092.8471,0,1,2,3
202,trat1,1,0,0,39.99690144,58240.52657,0,1,3,2
203,trat2,1,0,0,49.89032049,39951.06579,1,0,2,3
204,trat2,0,0,0,42.11129907,47027.96204,0,0,3,3
205,trat2,1,1,0,32.43419667,71921.44142,1,1,3,2
206,trat1,0,0,0,51.64283097,50003.04476,0,1,3,3
207,trat2,0,0,0,66.7226893,46578.42433,0,0,3,3
208,ctrl,0,0,1,32.21659216,53651.73358,1,1,3,2
209,ctrl,0,0,0,55.41190603,41810.87373,1,1,2,3
210,ctrl,0,0,1,51.24168586,54801.86939,0,0,2,3
211,trat2,1,1,0,32.6146152,56580.65578,1,0,3,4
212,ctrl,0,0,0,54.04017829,53669.21895,0,0,3,2
213,ctrl,0,0,0,53.9001671,36235.76183,0,0,2,2
214,trat1,1,1,1,59.96587474,58371.05479,1,1,3,3
215,ctrl,0,0,0,50.02106537,45494.67639,0,1,2,2
216,trat1,1,0,0,70,44872.45086,1,0,3,3
217,trat2,1,1,0,39.70365807,64443.58423,1,1,3,2
218,trat2,1,1,0,25.66094633,58054.8905,0,0,3,3
219,trat1,1,1,1,48.16534318,62206.10554,0,0,2,1
220,trat1,0,0,0,50.26798472,46492.95214,1,0,3,4
221,ctrl,0,0,1,63.78268965,44465.58853,0,0,3,2
222,trat1,1,0,1,52.87439912,47818.75068,1,0,2,5
223,trat1,1,0,0,18.38363816,47691.63541,1,0,5,2
224,trat1,1,1,1,47.27061486,58575.25866,0,0,3,2
225,ctrl,1,1,1,44.57895427,31759.3776,0,0,2,2
226,trat2,0,0,0,67.80323749,46704.06342,1,0,2,2
227,trat2,1,1,0,38.58838957,61668.35106,1,1,3,3
228,trat2,1,1,0,27.73755509,58622.54098,0,0,3,3
229,trat1,1,0,0,45.8608985,43532.02413,0,1,2,3
230,trat1,0,0,0,45.97378738,59752.44867,0,0,3,2
231,trat2,1,1,0,18,60836.4502,0,1,3,2
232,trat2,0,0,0,36.02046652,56396.99321,1,1,3,2
233,trat2,0,0,1,47.18530825,51395.30218,1,0,3,4
234,ctrl,1,1,0,45.291237,31720.33017,0,0,5,2
235,ctrl,0,0,1,39.32927268,33528.26829,1,0,4,2
236,trat2,0,0,1,53.20083279,45014.92219,0,0,3,3
237,ctrl,0,0,0,47.2444625,32480.25566,1,0,4,2
238,trat1,1,0,1,51.77369928,37278.1723,1,1,3,2
239,ctrl,0,0,0,41.5022779,36654.71237,0,1,2,4
240,trat1,1,1,1,43.2214686,59227.77498,1,0,3,2
241,trat2,1,1,0,32.72851173,59904.33038,1,0,2,2
242,trat2,0,0,1,58.73959409,52696.32832,0,0,2,3
243,ctrl,0,0,1,48.1577561,49040.28654,0,0,2,2
244,trat2,1,1,0,37.66794915,71179.00429,0,1,2,2
245,ctrl,0,0,1,37.00185304,42278.11677,1,0,2,2
246,trat1,0,0,0,54.45564283,59117.06467,1,1,2,3
247,trat2,1,1,0,54.18959185,70546.22874,1,1,3,3
248,trat1,1,1,1,36.37338363,51735.6048,1,1,3,2
249,trat1,1,1,1,53.60531726,58546.08881,0,0,3,3
250,trat1,0,0,1,37.87988153,37241.49314,0,1,3,2
251,ctrl,0,0,0,58.65433156,54559.79904,1,0,2,4
252,ctrl,0,0,1,40.379695,41623.6997,0,1,3,2
253,trat2,0,0,0,37.06784539,66638.34898,1,1,2,3
254,ctrl,0,0,0,63.53668291,44755.65107,0,0,3,3
255,trat2,1,0,1,48.94031194,41539.57996,0,1,3,2
256,trat1,0,0,1,51.65884696,38051.62459,0,0,3,3
257,ctrl,0,0,0,41.36507241,31731.68756,1,1,4,2
258,trat2,1,1,0,36.97324075,67575.75565,1,0,3,3
259,trat2,1,1,0,23.67105571,59035.52885,1,1,3,2
260,trat1,0,0,0,46.85711087,34594.75834,1,1,1,5
261,trat1,1,1,0,31.03522005,56183.80292,0,0,3,2
262,trat1,1,0,0,55.16227488,60313.70713,0,1,2,3
263,trat1,1,1,1,50.38059751,70687.70267,0,1,5,2
264,trat1,0,0,1,38.64057072,34933.8787,0,1,2,1
265,trat2,0,0,0,58.3794051,39657.51058,1,0,3,3
266,trat2,0,0,1,55.11155347,28216.01856,1,0,3,3
267,ctrl,0,0,0,48.70431755,50435.41097,1,1,2,3
268,trat2,0,0,1,39.90484593,49728.30753,0,0,2,2
269,ctrl,0,0,1,43.53376086,54290.50281,1,0,5,2
270,trat2,1,1,0,30.11200599,70496.97937,1,0,5,5
271,trat1,1,1,0,44.73368775,60998.11485,0,0,2,5
272,ctrl,0,0,1,41.30732882,48332.18402,0,1,2,3
273,ctrl,0,0,0,54.757679,41062.68813,0,1,3,2
274,ctrl,1,0,0,55.68198705,37530.12725,0,1,2,2
275,trat1,1,1,0,46.44768908,54514.47674,1,1,2,3
276,trat1,1,1,0,44.67876594,58561.63868,1,0,3,3
277,trat1,1,1,0,61.0971333,57100.28547,0,1,5,1
278,trat2,1,0,1,40.69777582,46599.71834,0,1,5,3
279,ctrl,0,0,1,44.61889729,43100.58318,1,1,5,2
280,trat2,1,0,0,44.17388713,48712.84939,1,1,3,4
281,trat1,1,1,0,48.43474314,59930.97307,1,1,3,3
282,ctrl,0,0,1,41.97136226,37791.08795,1,1,2,3
283,trat2,0,0,1,45.83319325,46026.21581,0,1,3,5
284,ctrl,0,0,1,51.21934618,50536.28116,1,0,2,2
285,ctrl,1,0,1,40.90131131,42163.58685,0,0,2,5
286,trat2,1,0,1,45.40245366,49993.47139,1,1,3,3
287,ctrl,0,0,1,62.45328045,34135.0785,0,0,3,3
288,ctrl,1,0,1,49.99606911,31197.3704,1,1,2,2
289,ctrl,1,0,0,64.70633414,42886.40288,0,0,3,3
290,trat1,1,1,0,27.16628883,61649.21313,1,1,3,2
291,ctrl,0,0,0,68.32061002,39811.03937,0,1,3,5
292,ctrl,0,0,1,52.92009782,53404.90609,0,0,2,3
293,ctrl,1,0,0,58.51463176,52798.76361,1,1,2,4
294,trat1,1,0,1,70,48898.68907,0,1,3,3
295,trat1,1,1,0,64.82453499,56302.76221,0,1,5,2
296,trat1,1,1,1,47.32205919,65222.93023,1,1,3,5
297,trat1,0,0,0,56.99094333,47112.12694,1,0,2,5
298,ctrl,0,0,0,56.44274759,40629.34409,1,1,5,2
299,ctrl,0,0,1,51.31149394,43146.82386,0,1,3,1
300,trat1,1,1,1,52.99798097,51050.18927,0,0,2,3
301,trat1,0,0,0,37.2723178,46356.45411,0,0,3,3
302,ctrl,0,0,1,54.93848432,41486.76119,0,1,2,2
303,trat1,1,1,1,28.70349829,67210.46431,1,0,3,3
304,trat1,0,0,0,38.08719798,47767.814,1,0,3,3
305,trat2,1,1,0,28.73655086,60500.11458,1,0,3,3
306,trat2,1,1,1,32.98784924,63389.41083,0,0,3,3
307,ctrl,0,0,1,28.99632441,41396.63083,0,1,3,5
308,ctrl,0,0,1,46.22672229,39276.60105,0,0,3,3
309,trat2,1,0,0,47.14633152,49011.1105,1,1,3,2
310,trat2,1,1,1,28.718029,65610.22615,1,0,4,2
311,trat2,0,0,1,41.63109899,39985.87161,1,0,3,2
312,trat2,1,1,0,34.32592597,52464.56722,0,0,5,3
313,trat1,0,0,1,64.16354155,36882.34408,1,0,4,2
314,ctrl,0,0,0,47.65222185,48965.45961,0,0,5,3
315,trat2,1,1,0,26.51946376,62293.92551,0,1,3,2
316,trat1,1,0,1,50.84995181,40598.60722,0,0,2,4
317,trat1,1,1,1,51.54503975,57640.35681,1,1,3,3
318,ctrl,0,0,1,55.07359618,30103.80628,0,1,5,3
319,trat2,1,1,0,26.30157838,66854.56644,1,0,3,3
320,trat1,1,1,1,44.87127194,66389.21561,0,1,3,2
321,trat1,0,0,1,50.76646854,37063.97432,0,0,2,2
322,ctrl,0,0,0,37.44017468,31162.51759,1,0,3,3
323,ctrl,0,0,1,52.36155843,43968.65725,1,0,1,3
324,trat1,0,0,0,63.41898912,44595.25647,0,1,3,5
325,ctrl,1,0,1,45.06199592,49670.64383,1,0,3,3
326,ctrl,0,0,1,66.71999589,53179.24912,1,1,1,3
327,trat1,1,1,0,39.88124222,62807.98076,1,1,3,2
328,ctrl,0,0,0,52.64908438,42379.13778,1,0,2,4
329,ctrl,0,0,1,48.57558679,49676.06435,1,1,5,2
330,trat1,0,0,0,63.88847769,50778.98415,1,1,2,2
331,trat2,1,0,0,33.10477711,31163.45757,1,1,2,3
332,ctrl,1,0,0,36.88208455,36318.34238,0,1,5,4
333,trat1,1,1,0,54.42823575,64905.33983,1,1,3,2
334,trat1,1,1,1,47.66571516,63680.95328,0,1,3,3
335,ctrl,0,0,1,59.61653363,50818.81706,0,0,2,2
336,trat2,1,1,0,20.93184822,68973.28856,0,0,3,3
337,trat1,0,0,0,47.84389293,39142.28783,0,1,3,2
338,trat2,0,0,1,58.09825617,41537.30063,0,0,5,3
339,trat2,1,1,0,38.63057876,64216.69563,1,1,3,2
340,trat1,0,0,0,42.60714207,48821.06998,0,1,3,3
341,trat2,0,0,1,49.41447847,41614.29634,1,1,2,2
342,ctrl,0,0,1,51.19708174,61334.8838,1,1,2,4
343,trat2,1,1,0,41.48729136,53365.05808,1,0,1,3
344,ctrl,0,0,1,31.55566821,30397.9872,1,1,2,3
345,trat2,0,0,1,56.20078193,45044.75165,0,0,4,2
346,trat2,1,1,0,44.02489397,58875.44261,0,1,5,3
347,trat1,0,0,1,50.16936349,50837.64181,1,1,3,1
348,trat2,0,0,0,50.21207441,51594.69729,0,0,2,2
349,ctrl,0,0,0,51.82446958,49382.81305,1,0,3,2
350,trat2,1,1,0,22.58937141,59856.77407,1,0,1,3
351,ctrl,1,0,1,67.76908161,28857.62079,0,1,3,3
352,trat1,1,1,0,59.00347372,61315.95046,0,1,3,3
353,trat2,0,0,1,53.06314651,40332.66194,1,0,3,3
354,ctrl,0,0,1,33.90593804,42872.93633,0,0,2,3
355,trat2,1,1,0,27.81143876,73206.28558,1,0,3,2
356,trat1,1,0,0,52.63822066,37427.44704,1,1,4,3
357,trat2,1,1,0,44.2055681,66234.69537,0,0,5,2
358,trat2,1,0,0,44.31286211,58802.62319,0,0,4,2
359,ctrl,0,0,0,51.97381149,33417.39149,0,1,3,2
360,trat1,0,0,0,55.08692512,32104.29315,0,0,2,2
361,ctrl,0,0,0,36.02241728,40310.40981,0,0,3,4
362,ctrl,1,1,1,31.47413946,33084.2277,0,0,3,2
363,trat1,1,0,0,60.88263208,45052.28568,1,0,2,4
364,ctrl,1,1,0,54.04530803,32607.95844,0,0,2,4
365,trat2,1,1,0,49.1164776,61416.53965,1,1,2,4
366,trat1,1,1,1,22.55948774,58670.14424,1,1,2,2
367,ctrl,0,0,0,54.22640111,35022.90944,1,0,2,3
368,ctrl,0,0,0,42.88042292,42124.66028,0,1,3,2
369,trat2,0,0,0,66.71189719,35082.30491,0,0,4,2
370,trat2,1,1,1,51.62575522,78781.28847,0,0,1,3
371,trat2,1,1,0,23.59446513,72115.51207,1,0,2,3
372,trat2,1,1,0,21.04942456,55806.34428,1,0,3,3
373,trat1,1,1,0,56.07932082,65135.69579,1,1,3,2
374,trat2,1,1,1,44.29448322,58557.15485,0,0,3,4
375,trat2,0,0,1,40.53242973,52327.58373,0,1,2,3
376,trat1,0,0,1,36.99738421,37713.57985,0,0,2,3
377,trat1,0,0,0,64.95755567,43804.68486,1,0,2,4
378,ctrl,0,0,1,39.84417724,46024.50427,0,1,1,4
379,ctrl,0,0,0,50.91115608,55937.02112,1,0,3,3
380,trat1,0,0,1,60.0684323,50835.73902,1,1,3,1
381,trat2,0,0,0,53.16054345,40733.06465,1,0,4,3
382,trat1,1,1,0,55.77062407,62324.68551,1,0,5,4
383,trat2,0,0,0,62.77346688,52493.26936,1,1,1,2
384,trat1,1,0,0,53.16812167,50313.79247,0,1,3,2
385,trat2,1,1,0,38.71192592,57156.08783,0,1,3,2
386,trat1,0,0,0,43.1444762,39595.90955,1,0,2,2
387,ctrl,0,0,0,70,35509.16883,0,1,2,2
388,ctrl,1,0,1,45.25006996,52238.73743,0,1,2,5
389,ctrl,0,0,1,40.55827921,50728.87354,1,0,2,2
390,ctrl,0,0,1,46.77336129,39946.60651,0,1,5,2
391,trat1,0,0,1,57.29442261,46419.36885,0,0,3,3
392,ctrl,0,0,0,33.21940269,31559.97068,0,1,2,3
393,trat1,1,0,1,47.25661253,47205.59212,1,1,3,3
394,trat1,1,1,0,55.79360882,62917.17454,0,1,1,1
395,ctrl,1,0,1,47.3692674,46401.3241,1,0,2,3
396,ctrl,0,0,1,60.95859507,44977.84694,1,0,2,4
397,ctrl,0,0,0,54.75203508,54567.41594,0,1,2,3
398,ctrl,1,1,1,47.15609268,32077.98641,1,0,2,2
399,ctrl,1,0,0,37.75911844,52139.16504,0,1,3,2
400,trat1,1,1,1,57.06278102,70571.54089,1,1,4,3
401,trat1,0,0,0,46.46589594,57414.42023,1,0,2,3
402,ctrl,0,0,0,54.2812336,44971.01167,1,1,3,2
403,trat1,0,0,1,43.07231735,41114.18964,0,1,2,2
404,trat2,1,1,1,38.74872775,70207.35426,0,1,3,3
405,trat2,0,0,1,47.16797381,51758.58896,0,1,3,3
406,trat2,1,0,0,58.15292465,20689.64481,1,1,3,1
407,trat1,1,0,1,49.08166685,34527.52121,1,1,3,2
408,ctrl,0,0,0,59.6422396,43134.17099,1,1,2,5
409,ctrl,0,0,1,46.57823619,50315.10313,1,1,1,2
410,trat1,0,0,1,52.8175311,53904.14075,1,0,2,3
411,ctrl,0,0,0,42.09362004,38019.62135,0,1,2,3
412,trat1,0,0,1,50.60915223,44759.05322,1,0,2,4
413,ctrl,0,0,1,43.02478136,37842.03597,0,0,2,2
414,trat2,0,0,1,65.82305063,45193.49152,1,1,2,3
415,ctrl,0,0,1,52.63674605,53330.48685,1,1,2,4
416,ctrl,0,0,0,30.8556106,44526.13854,1,1,3,3
417,trat1,1,0,1,52.85027248,46129.25261,0,1,3,1
418,ctrl,0,0,1,56.54637245,50264.57147,1,1,2,4
419,trat2,0,0,1,70,44000.16061,1,0,2,3
420,ctrl,1,0,0,52.21259901,42257.4852,1,0,4,3
421,trat2,0,0,0,61.75781641,41469.7907,1,1,3,4
422,trat2,1,0,0,48.20477571,36336.2612,0,0,2,3
423,trat2,0,0,1,50.85166176,35793.69385,1,1,3,3
424,ctrl,1,0,0,49.58279145,32284.3285,1,1,3,2
425,trat1,1,0,0,47.40582408,38698.65169,0,1,2,5
426,trat2,1,1,0,42.52148665,54940.49094,0,1,3,3
427,ctrl,0,0,0,38.81630502,53400.11666,1,0,2,3
428,trat2,0,0,1,47.71431739,48738.79053,1,0,2,1
429,ctrl,0,0,1,38.0967096,40334.02749,0,0,3,2
430,trat1,1,1,1,50.23154392,58505.4134,0,0,3,3
431,trat1,0,0,1,38.9730985,40912.56799,0,0,4,3
